Obsidian Sanctum N25	Sartharion	Bountiful Gauntlets	epic	44004	https://wowhead.com/wotlk/item=44004
Obsidian Sanctum N25	Sartharion	Chestplate of the Great Aspects	epic	40453	https://wowhead.com/wotlk/item=40453
Obsidian Sanctum N25	Sartharion	Concealment Shoulderpads	epic	40437	https://wowhead.com/wotlk/item=40437
Obsidian Sanctum N25	Sartharion	Council Chamber Epaulets	epic	40438	https://wowhead.com/wotlk/item=40438
Obsidian Sanctum N25	Sartharion	Dragon Brood Legguards	epic	40446	https://wowhead.com/wotlk/item=40446
Obsidian Sanctum N25	Sartharion	Dragon Hide Bag	epic	43345	https://wowhead.com/wotlk/item=43345
Obsidian Sanctum N25	Sartharion	Dragonstorm Breastplate	epic	44000	https://wowhead.com/wotlk/item=44000
Obsidian Sanctum N25	Sartharion	Fury of the Five Flights	epic	40431	https://wowhead.com/wotlk/item=40431
Obsidian Sanctum N25	Sartharion	Gauntlets of the Lost Conqueror	epic	40628	https://wowhead.com/wotlk/item=40628
Obsidian Sanctum N25	Sartharion	Gauntlets of the Lost Protector	epic	40629	https://wowhead.com/wotlk/item=40629
Obsidian Sanctum N25	Sartharion	Gauntlets of the Lost Vanquisher	epic	40630	https://wowhead.com/wotlk/item=40630
Obsidian Sanctum N25	Sartharion	Headpiece of Reconciliation	epic	44007	https://wowhead.com/wotlk/item=44007
Obsidian Sanctum N25	Sartharion	Hyaline Helm of the Sniper	epic	40451	https://wowhead.com/wotlk/item=40451
Obsidian Sanctum N25	Sartharion	Illustration of the Dragon Soul	epic	40432	https://wowhead.com/wotlk/item=40432
Obsidian Sanctum N25	Sartharion	Large Satchel of Spoils	epic	43346	https://wowhead.com/wotlk/item=43346
Obsidian Sanctum N25	Sartharion	Leggings of the Honored	epic	44011	https://wowhead.com/wotlk/item=44011
Obsidian Sanctum N25	Sartharion	Mantle of the Eternal Sentinel	epic	40439	https://wowhead.com/wotlk/item=40439
Obsidian Sanctum N25	Sartharion	Obsidian Greathelm	epic	44006	https://wowhead.com/wotlk/item=44006
Obsidian Sanctum N25	Sartharion	Pennant Cloak	epic	44005	https://wowhead.com/wotlk/item=44005
